date,symbol,weight
07-01-2014,MANH,0.0061998
07-01-2014,UQM,0.00022
07-01-2014,CKP,0.0013976
07-01-2014,ACM,0.0076607
07-01-2014,CKH,0.0040656
07-01-2014,GUID,0.0006404
07-01-2014,X,0.0090322
07-01-2014,VLO,0.0640846
07-01-2014,JVA,0.0001078
07-01-2014,PLUS,0.0010502
07-01-2014,MNTA,0.0015274
07-01-2014,TGE,0.0002888
07-01-2014,FNSR,0.0046069
07-01-2014,DMND,0.0021215
07-01-2014,SD,0.008473
07-01-2014,KBAL,0.0012317
07-01-2014,NATH,0.0005806
07-01-2014,VSCP,3.36e-05
07-01-2014,FICO,0.005238
07-01-2014,CPLA,0.0016008
07-01-2014,ANIP,0.0009339
07-01-2014,BRID,0.000176
07-01-2014,CDNS,0.0121598
07-01-2014,SSNC,0.0085598
07-01-2014,IMMU,0.0008144
07-01-2014,MFLX,0.0006395
07-01-2014,CLD,0.0026903
07-01-2014,FCEL,0.0014959
07-01-2014,ELX,0.0010853
07-01-2014,CTCM,0.0041108
07-01-2014,AEPI,0.0004247
07-01-2014,TG,0.0018168
07-01-2014,AVAV,0.0017667
07-01-2014,ENS,0.0077232
07-01-2014,PRGS,0.0029193
07-01-2014,USAK,0.0004693
07-01-2014,CSCO,0.305144
07-01-2014,TWX,0.14854
07-01-2014,BAGL,0.0006901
07-01-2014,ARTX,0.0002246
07-01-2014,T,0.4399492
07-01-2014,WYY,0.0003079
07-01-2014,GSB,0.0001163
07-01-2014,SONC,0.0028621
07-01-2014,STAA,0.001546
07-01-2014,VRNT,0.0063535
07-01-2014,PPC,0.0169881
07-01-2014,CLW,0.0030212
07-01-2014,LXK,0.007188
07-01-2014,DIT,0.0001197
07-01-2014,PAR,0.0001575
07-01-2014,CNVR,0.0039272
07-01-2014,ATEC,0.0003828
07-01-2014,HNH,0.0008305
07-01-2014,SIGM,0.0003782
07-01-2014,BRK_A,0.3896549
07-01-2014,ROC,0.0132167
07-01-2014,RLOC,0.0004913
07-01-2014,LVS,0.1476019
07-01-2014,AEO,0.0052287
07-01-2014,KEYW,0.0011314
07-01-2014,PHMD,0.0005594
07-01-2014,WTI,0.0029679
07-01-2014,MOV,0.0018642
07-01-2014,BC,0.0093641
07-01-2014,BIG,0.0060768
07-01-2014,DD,0.1440559
07-01-2014,OCRX,0.0002846
07-01-2014,NAUH,0.0001854
07-01-2014,TRK,0.001812
07-01-2014,UEC,0.0003385
07-01-2014,MSFT,0.8235517
07-01-2014,UAL,0.0367706
07-01-2014,AMWD,0.0011853
07-01-2014,DHI,0.0191649
07-01-2014,NPO,0.003984
07-01-2014,HSII,0.0008085
07-01-2014,CRAY,-0.0032184
07-01-2014,VGR,-0.0061028
07-01-2014,GLT,-0.00338
07-01-2014,CVS,-0.2606814
07-01-2014,WLB,-0.0016388
07-01-2014,APH,-0.0447816
07-01-2014,MOG_B,-0.0007917
07-01-2014,UFPT,-0.0005027
07-01-2014,CREE,-0.0177476
07-01-2014,BIO,-0.008402
07-01-2014,CCOI,-0.0047489
07-01-2014,KMT,-0.0107556
07-01-2014,OSIS,-0.0039378
07-01-2014,TAP,-0.0393345
07-01-2014,ICUI,-0.0036156
07-01-2014,GPI,-0.0060381
07-01-2014,FLS,-0.030204
07-01-2014,WAT,-0.0261947
07-01-2014,CEB,-0.0068207
07-01-2014,AYI,-0.0176706
07-01-2014,EEP,-0.0365587
07-01-2014,CHDN,-0.0046092
07-01-2014,VMC,-0.0246664
